Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2002,1,0,0,0,0,0,0,0,0
2002,2,22,2,5,5,3,10.4,5,5
2002,3,18,1,3,2,0,12.0,7,8
2002,4,18,4,6,3,1,19.666666666666668,10,14
2002,5,0,0,0,0,0,0,10,14
2002,6,18,2,4,2,1,6.5,12,18
2002,7,18,3,8,6,3,3.3333333333333335,18,26
2002,8,20,5,7,3,2,17.666666666666668,21,33
2002,9,0,0,0,0,0,0,21,33
2002,10,17,6,8,5,3,17.6,26,41
2002,11,20,3,7,4,4,7.0,30,48
2002,12,22,2,7,5,1,8.2,35,55
2002,13,17,2,5,3,1,12.333333333333334,38,60
2002,14,16,4,10,6,3,10.666666666666666,44,70
2002,15,13,3,6,5,2,7.6,49,76
2002,16,4,3,3,0,0,0,49,79
