Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2006,1,23,2,2,1,0,17.0,1,2
2006,2,22,2,3,1,0,1.0,2,5
2006,3,18,7,8,3,2,11.333333333333334,5,13
2006,4,21,2,3,1,0,2.0,6,16
2006,5,19,2,3,2,2,12.5,8,19
2006,6,18,4,6,4,2,15.0,12,25
2006,7,21,1,5,5,1,8.0,17,30
2006,8,20,2,3,1,0,11.0,18,33
2006,9,19,1,4,3,0,10.333333333333334,21,37
2006,10,20,4,6,5,3,6.4,26,43
2006,11,22,3,7,5,2,6.6,31,50
2006,12,18,4,5,2,1,20.0,33,55
2006,13,18,2,7,6,4,4.0,39,62
2006,14,8,4,6,3,1,3.0,42,68
2006,15,0,0,0,0,0,0,42,68
2006,16,0,0,0,0,0,0,42,68
