Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2007,1,24,1,3,2,1,4.0,2,3
2007,2,21,2,5,3,2,7.0,5,8
2007,3,22,3,6,4,1,15.25,9,14
2007,4,22,2,5,4,2,7.0,13,19
2007,5,22,2,9,8,3,8.5,21,28
2007,6,16,7,11,5,2,9.6,26,39
2007,7,21,2,7,6,2,8.5,32,46
2007,8,17,3,8,6,2,10.333333333333334,38,54
2007,9,16,6,9,5,2,8.8,43,63
2007,10,19,4,6,3,2,9.0,46,69
2007,11,23,1,6,5,1,11.8,51,75
2007,12,17,4,6,3,1,6.666666666666667,54,81
2007,13,17,5,8,5,3,10.8,59,89
2007,14,9,3,5,3,3,10.666666666666666,62,94
2007,15,0,0,0,0,0,0,62,94
2007,16,0,0,0,0,0,0,62,94
