Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2009,1,20,4,5,2,2,2.5,2,5
2009,2,22,1,3,2,1,7.0,4,8
2009,3,22,2,5,4,1,13.0,8,13
2009,4,23,1,7,7,2,18.142857142857142,15,20
2009,5,17,3,5,3,0,8.0,18,25
2009,6,18,3,4,1,0,21.0,19,29
2009,7,18,5,8,4,1,9.5,23,37
2009,8,22,1,3,2,2,12.5,25,40
2009,9,20,2,6,5,1,14.4,30,46
2009,10,22,2,7,6,4,9.833333333333334,36,53
2009,11,22,3,8,6,1,15.0,42,61
2009,12,20,1,3,3,1,3.3333333333333335,45,64
2009,13,18,1,7,6,1,11.333333333333334,51,71
2009,14,10,4,7,4,1,15.25,55,78
2009,15,1,0,0,0,0,0,55,78
2009,16,0,0,0,0,0,0,55,78
