Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2011,1,23,2,4,3,1,6.0,3,4
2011,2,20,1,3,2,0,7.0,5,7
2011,3,23,2,6,4,0,13.25,9,13
2011,4,19,4,5,2,0,13.0,11,18
2011,5,18,4,8,6,3,10.333333333333334,17,26
2011,6,21,3,4,1,0,5.0,18,30
2011,7,17,4,6,4,1,13.5,22,36
2011,8,19,3,7,5,1,11.8,27,43
2011,9,20,2,6,6,3,20.166666666666668,33,49
2011,10,17,3,7,4,2,3.75,37,56
2011,11,20,4,7,5,4,8.4,42,63
2011,12,22,3,8,7,2,10.285714285714286,49,71
2011,13,16,6,6,0,0,0,49,77
2011,14,11,6,6,2,1,24.5,51,83
2011,15,1,0,0,0,0,0,51,83
2011,16,0,0,0,0,0,0,51,83
