Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2014,1,22,3,3,1,1,24.0,1,3
2014,2,22,2,3,2,2,8.5,3,6
2014,3,18,1,4,4,1,4.5,7,10
2014,4,14,2,4,2,2,4.5,9,14
2014,5,18,1,2,1,1,1.0,10,16
2014,6,18,6,11,8,4,7.625,18,27
2014,7,15,5,7,3,2,7.666666666666667,21,34
2014,8,16,5,6,2,1,7.5,23,40
2014,9,18,2,2,1,0,3.0,24,42
2014,10,16,5,7,3,1,12.666666666666666,27,49
2014,11,18,6,8,3,2,10.666666666666666,30,57
2014,12,15,5,10,9,3,13.88888888888889,39,67
2014,13,20,3,4,2,1,17.0,41,71
2014,14,19,5,7,4,3,10.5,45,78
2014,15,8,5,6,1,1,3.0,46,84
2014,16,1,0,0,0,0,0,46,84
