Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2015,1,23,1,3,2,0,15.5,2,3
2015,2,22,3,5,2,1,7.5,4,8
2015,3,20,4,5,2,2,8.0,6,13
2015,4,20,2,5,4,1,23.75,10,18
2015,5,18,5,7,5,3,15.4,15,25
2015,6,20,2,5,4,1,14.25,19,30
2015,7,17,5,7,3,1,19.0,22,37
2015,8,19,1,4,4,0,15.0,26,41
2015,9,17,1,3,2,2,5.0,28,44
2015,10,22,3,8,7,4,11.714285714285714,35,52
2015,11,21,3,8,7,4,8.857142857142858,42,60
2015,12,19,6,9,6,3,10.666666666666666,48,69
2015,13,19,6,10,7,2,16.285714285714285,55,79
2015,14,6,5,6,2,2,4.5,57,85
2015,15,1,0,0,0,0,0,57,85
2015,16,0,0,0,0,0,0,57,85
